	0	1
1287	0.7666666666666667	[64, 7, 'sigmoid', 'sigmoid', 'softplus', 'softmax']
689	0.7666666666666667	[32, 7, 'tanh', 'softmax', 'sigmoid', 'softplus']
1263	0.7666666666666667	[64, 5, 'softmax', 'tanh', 'softmax', 'softmax']
1964	0.7666666666666667	[128, 5, 'tanh', 'tanh', 'softmax', 'sigmoid']
1849	0.7666666666666667	[128, 5, 'sigmoid', 'softmax', 'tanh', 'softplus']
544	0.7666666666666667	[32, 7, 'sigmoid', 'tanh', 'sigmoid', 'sigmoid']
1969	0.7666666666666667	[128, 5, 'tanh', 'softmax', 'sigmoid', 'softplus']
1372	0.7666666666666667	[64, 7, 'softplus', 'softplus', 'softmax', 'sigmoid']
1683	0.7666666666666667	[128, 3, 'tanh', 'softplus', 'sigmoid', 'softmax']
1712	0.7666666666666667	[128, 3, 'tanh', 'softmax', 'sigmoid', 'sigmoid']
1315	0.7666666666666667	[64, 7, 'sigmoid', 'tanh', 'sigmoid', 'softmax']
463	0.7666666666666667	[32, 5, 'softmax', 'sigmoid', 'softmax', 'softmax']
461	0.7666666666666667	[32, 5, 'softmax', 'sigmoid', 'softmax', 'softplus']
1983	0.7666666666666667	[128, 5, 'tanh', 'softmax', 'softmax', 'softmax']
456	0.7666666666666667	[32, 5, 'softmax', 'sigmoid', 'tanh', 'sigmoid']
1300	0.7666666666666667	[64, 7, 'sigmoid', 'softplus', 'softplus', 'sigmoid']
1301	0.7666666666666667	[64, 7, 'sigmoid', 'softplus', 'softplus', 'softplus']
1475	0.7666666666666667	[64, 7, 'softmax', 'sigmoid', 'sigmoid', 'softmax']
2257	0.7666666666666667	[128, 7, 'softmax', 'softplus', 'sigmoid', 'softplus']
1828	0.7666666666666667	[128, 5, 'sigmoid', 'tanh', 'softplus', 'sigmoid']
1303	0.7666666666666667	[64, 7, 'sigmoid', 'softplus', 'softplus', 'softmax']
1135	0.7666666666666667	[64, 5, 'softplus', 'tanh', 'softmax', 'softmax']
1132	0.7666666666666667	[64, 5, 'softplus', 'tanh', 'softmax', 'sigmoid']
427	0.7666666666666667	[32, 5, 'tanh', 'tanh', 'tanh', 'softmax']
424	0.7666666666666667	[32, 5, 'tanh', 'tanh', 'tanh', 'sigmoid']
1064	0.7666666666666667	[64, 5, 'sigmoid', 'tanh', 'tanh', 'sigmoid']
1471	0.7666666666666667	[64, 7, 'tanh', 'softmax', 'softmax', 'softmax']
