,0
847,B035
848,T193
849,F057
850,V36
851,P052
852,A038
853,U055
854,H94
855,V21
856,E038
857,I032
858,S023
859,E197
860,T05
861,W02
862,D034
863,N032
864,E196
865,P012
866,D025
867,G013
868,N72
869,F035
870,E033
871,E195
872,W017
873,Y114
874,M03
875,E199
876,T035
877,N034
878,V37
879,I193
880,S035
881,B125
882,S46
883,B039
884,O54
885,F05
886,W036
887,H119
888,A129
889,Q033
890,C012
891,B127
892,B052
893,P76
894,A123
895,F128
896,P192
897,E129
898,I015
899,F037
900,W61
901,E128
902,X029
903,H013
904,H113
905,I118
906,E127
907,F018
908,D123
909,W112
910,E059
911,J03
912,O014
913,S054
914,Y44
915,S032
916,Q015
917,H015
918,M02
919,S124
920,U054
921,O015
922,P127
923,L114
924,Q014
925,R02
926,B116
927,D99
928,H84
929,D053
930,D124
931,N037
932,N033
933,L01
934,V19
935,Y05
936,J19
937,E018
938,B834
939,B017
940,N056
941,J01
942,V013
943,G113
944,H70
945,O03
946,P028
947,L118
948,L03
949,U124
950,F014
951,F112
952,G199
953,K053
954,F122
955,B126
956,Q055
957,X05
958,G014
959,L115
960,G019
961,C056
962,I037
963,A193
964,I194
965,E014
966,C054
967,G194
968,E056
969,I034
970,A026
971,A056
972,G60
973,R11
974,E013
975,G117
976,X014
977,N023
978,A023
979,A028
980,X114
981,K193
982,U01
983,A022
984,Q054
985,C196
986,Q013
987,J054
988,B824
989,Y032
990,J113
991,N02
992,P015
993,I014
994,B199
995,L125
996,D01
997,F027
998,W117
999,G123
1000,J012
1001,I196
1002,L032
1003,C19
1004,E114
1005,P195
1006,E193
1007,I198
1008,P057
1009,J024
1010,M034
1011,W192
1012,A127
1013,N114
1014,Y12
1015,H012
1016,M114
1017,W126
1018,J114
1019,L038
1020,C112
1021,H44
1022,J05
1023,W056
1024,H02
1025,M19
1026,M012
1027,Q193
1028,R05
1029,R013
1030,B036
1031,U113
1032,Y25
1033,Q025
1034,O125
1035,A05
1036,R036
1037,P053
1038,H45
1039,W033
1040,D126
1041,G112
1042,Q124
1043,Q114
1044,K013
1045,Q012
1046,X01
1047,I112
1048,B123
1049,A195
1050,A198
1051,K113
1052,B193
1053,O024
1054,I035
1055,A192
1056,F015
1057,A017
1058,H54
1059,N017
1060,G192
1061,O032
1062,P037
1063,H51
1064,E125
1065,U053
1066,L194
1067,U195
1068,G129
1069,Y43
1070,E054
1071,Y22
1072,S113
1073,O012
1074,G127
1075,T123
1076,Q127
1077,A025
1078,H034
1079,R196
1080,V02
1081,E016
1082,Q057
1083,G193
1084,N122
1085,W118
1086,W035
1087,I055
1088,J022
1089,V32
1090,W114
1091,F026
1092,Q02
1093,M014
1094,S052
1095,Q122
1096,A024
1097,M05
1098,M052
1099,S033
1100,A053
1101,Q034
1102,P194
1103,W193
1104,A057
1105,J032
1106,J013
1107,S115
1108,U115
1109,R03
1110,K022
1111,O052
1112,M024
1113,S123
1114,D19
1115,X194
1116,X124
1117,H114
1118,V31
1119,F123
1120,I056
1121,W013
1122,U022
1123,U192
1124,F52
1125,I027
1126,B057
1127,K123
1128,P21
1129,R056
1130,H122
1131,W124
1132,W053
1133,V032
1134,K50
1135,N015
1136,D023
1137,H01
1138,U024
1139,B053
1140,R67
1141,O124
1142,J122
1143,R27
1144,R21
1145,D114
1146,K034
1147,E027
1148,T034
1149,V112
1150,Y34
1151,U112
1152,D024
1153,Y022
1154,U122
1155,T01
1156,E019
1157,G115
1158,I012
1159,N024
1160,Y41
1161,D02
1162,B026
1163,E034
1164,P054
1165,B013
1166,G024
1167,O122
1168,E126
1169,G028
1170,J023
1171,Q197
1172,V12
1173,P124
1174,W028
1175,B197
1176,L05
1177,X115
1178,J052
1179,H115
1180,H039
1181,P017
1182,Y11
1183,C115
1184,V053
1185,S015
1186,N128
1187,H032
1188,F197
1189,D192
1190,E194
1191,N026
1192,V122
1193,Y23
1194,H25
1195,S193
1196,F196
1197,I117
1198,D035
1199,Y35
1200,G02
1201,L018
1202,N013
1203,A054
1204,H059
1205,G122
1206,I053
1207,R122
1208,L024
1209,W057
1210,H61
1211,W012
1212,D052
1213,N195
1214,S053
1215,S018
1216,Y24
1217,X193
1218,W026
1219,F016
1220,A018
1221,W194
1222,B196
1223,F017
1224,Y124
1225,A052
1226,G017
1227,F116
1228,W196
1229,D116
1230,L128
1231,T032
1232,O013
1233,I054
1234,E028
1235,K054
1236,H014
1237,Y052
1238,W034
1239,N014
1240,J123
1241,G036
1242,N053
1243,R052
1244,X038
1245,V012
1246,X053
1247,A029
1248,F194
1249,D054
1250,Q052
1251,E055
1252,W197
1253,L033
1254,M054
1255,U125
1256,B704
1257,P196
1258,P024
1259,C194
1260,F195
1261,N127
1262,N125
1263,H112
1264,I028
1265,I192
1266,W054
1267,P016
1268,W059
1269,O05
1270,N118
1271,O113
1272,G029
1273,H054
1274,Y19
1275,R112
1276,H052
1277,L028
1278,V34
1279,D015
1280,E124
1281,Q125
1282,L054
1283,B055
1284,O025
1285,U014
1286,R033
1287,G033
1288,F053
1289,G012
1290,V052
1291,V193
1292,C025
1293,G027
1294,J014
1295,T037
1296,X119
1297,T197
1298,J033
1299,O035
1300,H193
1301,A039
1302,W027
1303,P036
1304,A199
1305,I016
1306,O195
1307,S195
1308,P115
1309,F193
1310,P116
1311,W029
1312,O194
1313,W014
1314,Y194
1315,H125
1316,H199
1317,S014
1318,W018
1319,P125
1320,N022
1321,G196
1322,X018
1323,A119
1324,T012
1325,C122
1326,I115
